구분,title,writer,publisher,year,journal,link,abstracts
23,자연어처리 모델을 이용한 이커머스 데이터 기반 감성 분석 모델 구축,"최준영,임희석",한국융합학회,2020,한국융합학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=87e4647cb694ad734884a65323211ff0&keyword=자연어 처리,"In the field of Natural Language Processing, Various research such as Translation, POS Tagging, Q&A, and Sentiment Analysis are globally being carried out. Sentiment Analysis shows high classification performance for English single-domain datasets by pretrained sentence embedding models. In this thesis, the classification performance is compared by Korean E-commerce online dataset with various domain attributes and 6 Neural-Net models are built as BOW (Bag Of Word), LSTM[1], Attention, CNN[2], ELMo[3], and BERT(KoBERT)[4]. It has been confirmed that the performance of pretrained sentence embedding models are higher than word embedding models. In addition, practical Neural-Net model composition is proposed after comparing classification performance on dataset with 17 categories. Furthermore, the way of compressing sentence embedding model is mentioned as future work, considering inference time against model capacity on real-time service. 자연어 처리 분야에서 번역, 형태소 태깅, 질의응답, 감성 분석등 다양한 영역의 연구가 활발히 진행되고 있다. 감성 분석 분야는 Pretrained Model을 전이 학습하여 단일 도메인 영어 데이터셋에 대해 높은 분류 정확도를 보여주고 있다. 본 연구에서는 다양한 도메인 속성을 가지고 있는 이커머스 한글 상품평 데이터를 이용하고 단어 빈도 기반의 BOW(Bag Of Word), LSTM[1], Attention, CNN[2], ELMo[3], KoBERT[4] 모델을 구현하여 분류 성능을 비교하였다. 같은 단어를 동일하게 임베딩하는 모델에 비해 문맥에 따라 다르게 임베딩하는 전이학습 모델이 높은 정확도를 낸다는 것을 확인하였고, 17개 카테고리 별, 모델 성능 결과를 분석하여 실제 이커머스 산업에서 적용할 수 있는 감성 분석 모델 구성을 제안한다. 그리고 모델별 용량에 따른 추론 속도를 비교하여 실시간 서비스가 가능할 수 있는 모델 연구 방향을 제시한다."
24,자연어처리 기술을 활용한 유튜브 악성 댓글 자동 블라인드 시스템,"이재은(Jae Eun Lee),이지은(Ji Eun Lee),임예희(Ye Hee Lim),박규동(Kyudong Park),조민수(Minsu Cho)",한국HCI학회,2022,한국HCI학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2b157b87a51943a7c85d2949c297615a&keyword=자연어 처리,"인터넷 상의 댓글이 늘어나면서 악성 댓글의 심각성 또한 점점 커지는 가운데, 특히 최근 사용량이 급증한 유튜브에서 많은 양의 악성 댓글로 인해 피해가 속출하고 있다. 이를 줄이고자, 본 연구에서는 자동으로 유튜브의 악성 댓글을 검출하여 이를 노출시키지 않도록 블라인드 처리하는 크롬 확장 프로그램을 개발하였다. 먼저, 유튜브 댓글을 수집한 후 일반 댓글과 악성 댓글로 라벨링하여 학습 데이터셋을 구축하였다. 이를 바탕으로 지도학습 기반의 악성 댓글 분류기를 구축하여 서버에 내장하였다. 그리고 유튜브 웹사이트에서 댓글의 위치를 읽어서 자동으로 서버로 송신하고 악성 댓글 여부를 수신하는 크롬 확장 프로그램을 개발하였다. 실행 결과, 악성 댓글로 예측된 댓글이 자동으로 블라인드 처리됨을 확인하였다. 추후 사용성 평가를 거쳐 개선 사항을 발굴할 예정이며, 악성 댓글에 노출되지 않는 것이 유튜브의 사용 경험에 어떤 영향을 미치는지 연구하고자 한다."
25,인공신경망 기반 자연어처리를 적용한 연도별 정책내용 변화 분석에 관한 연구: 일본 IT신전략 (2018-2020)을 대상으로,"김민호 ( Minho Kim ),윤호열 ( Ho-yeol Yoon ),최상옥 ( Sang-ok Choi )",정보통신정책학회,2021,정보통신정책연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fbfced76adca3893e9810257f7042666&keyword=자연어 처리,"본 연구는 인공신경망 기반 자연어처리를 적용하여 시간에 따른 정책내용 변화를 확인하고자 하였다. 비정형 텍스트인 일본 IT신전략(2018-2020)에 단어 임베딩 학습모형인 Word2Vec알고리즘을 적용하여 다차원 공간에 추출한 단어들을 벡터화하였으며, 두 벡터 간의 사잇각을 구하는 코사인 유사도(cosine similarity)를 이용하여 단어 유사도(word similarity)를 측정하였다. Word2Vec알고리즘, 코사인 유사도를 이용하여 비정형 텍스트를 수치화하였고, 수치화된 값을 이용하여 정책문서 안에서 단어 간의 중요도와 유사도를 객관적으로 분석하고자 하였다. 또한, 정책문서의 번역과 해석에 의해서는 알기 힘들었던 의미들을 발견하고자 하였다.
분석 결과, 코사인 유사도의 증감을 통해 연관단어의 중요성이 어떻게 변화하고 있는지 확인할 수 있었다. 그리고 코사인 유사도를 통해 도출된 연관단어의 연도별변화와 단어 유사도를 통해 정책내용 변화의 성격을 알 수 있었다. This study aims to confirm changes in policy content over time by applying the method of Natural Language Processing with Artificial Neural Networks. To apply this method to the unstructured data for Japan's new IT strategy, data preprocessing was performed allowing a computer to recognize the unstructured data. Words were vectorized in multidimensional space using the Word2Vec algorithm, and word similarity was approximated using the cosine similarity approach. Using these approaches, we quantified the originally unstructured data and were able to compare and analyze the importance of various words for the policy document.
Relying on the cosine similarity, we confirmed that the relatedness of words varied even when words were same. The importance of the related words varied through the increase or decrease of the cosine similarity. We could thus infer the nature of the change in policy content from the yearly changes in the related words and from word similarity, as inferred from the cosine similarity approach."
26,딥러닝 자연어처리를 통한 판사의 인지적 과정 추론과  한국 법원 판결 예측 가능성에 관한 연구,"박예찬,이재성",중앙대학교 인문콘텐츠연구소,2023,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3d01e487cfd50c0ab36097776a77e665&keyword=자연어 처리,"Korean judgeʼs unnaturalized cognitive process make it difficult  to  determine whether  similar  cases  receive  judgments;  therefore,  we  aim  to  understand  these processes. This study presents a data analysis method that combines cognitive process knowledge  and  model  techniques.  First,  the  collected  data  are  text  that  aligns smoothly with the judge's cognitive process, and attempts were made  to  embed  the text into the preprocessed value. In word embedding, FastText was  used  because  it was  deemed  appropriate  for  legal  analysis.  The  vector  values  were learned using Random Forest and Neural network models and enabled judgment to be classified into 81% accuracy. Then, by implementing cognitive maps through language networks and comparing  them  with  the  analyzed  data,  we  confirmed  that  they  had the same cognitive process. This study demonstrates the possibility of capturing  judgesʼ cognitive  process  through  natural  language  processing,  despite  the  emergence  of challenging  legal  terminology  and  lengthy  sentences.  Additionally, it was possible to deduce the crucial factors and their priorities in judgment through  cognitive  maps, enabling a comprehensive understanding of factors influencing judgment. From this, it can  be  concluded  that  they  possess  distinct  aspect,  do  share  and  reflect  certain perceptions. 우리나라의 판결들은 판사의 본연화 되지 않은 인식에 의해 결정되는 부분이존재해 비슷한 사건에서 비슷한 판단하고 있는지 파악하기 어려우므로, 본연화되지 않는 판사의 인식체계를 알고자 한다. 이를 위해 본 논문에서는 인식체계지식과 모델 기법을 융합한 데이터 분석을 제시한다. 우선 데이터를 판사의 인식체계가 잘 들어나는 텍스트를 수집하고, 텍스트를 전처리한 값에 임베딩을 시도한다. 이때, 워드 임베딩에서는 FastText가 법률분석에 적합하다고 판단하였기때문에 사용하였다. 그다음 이렇게 얻어진 벡터 값을 Random Forest와 Neural network 모델을 통해 학습하였고 각 판결을 최고 81%의 정확도로 분류해 낼수 있었다. 그리고 언어 네트워크 분석을 통한 인지적 지도를 구현해 딥러닝한결과와 비교함으로써 판사들 간 같은 인지 과정을 거치는지를 확인하였다. 본 과정을 통해 비록 어려운 법률 용어가 등장하며, 문장의 길이가 긴 판결문일지라도충분히 자연어 처리를 통해 판사들의 인식을 구현화하고 예측하는 것이 학습을통해 가능하다. 또 판결에 중요하게 여겨지는 사건 요소의 우선순위를 인지적 지도를 통해 추론가능해 결국 판단에 중요한 영향을 미치는 것이 무엇인지를 파악할 수 있었다. 이를 바탕으로 판결들이 전혀 다른 양상을 가지고 있어 예측할수 없는 범위에 있는 것이 아니라 일정한 인식을 공유하고 반영한다는 결론을도출해낼 수 있다."
27,딥러닝 자연어처리(NLP)와 일반수사학 (General Rhetoric)과의 융합적 접점 분석 - 그룹 뮤(Groupe μ)의 『A General Rhetoric』을 중심으로,지승학 ( Chi Seung-hak ),한국기호학회,2020,기호학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6bd425c653a365264884a65323211ff0&keyword=자연어 처리,"본 논문에서는 그룹 뮤(Groupe μ)의 『일반수사학』에서 주목하고 있는 시학과 수사 학적 언어의 형태와 RNN 언어모델의 구조적 유사성을 분석하고자 한다. 여기에서 주로 동원되는 것은 시학과 수사학적 언어의 기능을 분류하는 ‘메타볼’(Metaboles)의 유 형이다. 특히 메타볼은 본 논문에서 다루게 될 ‘수사학적 공간’의 아이디어로 발전하여 딥러닝 기술을 통한 자연어처리와 실질적으로 연결될 수 있다는 점에서 중요한 개념이라고 할 수 있다. 또한 수사학적 공간 개념을 RNN 언어모델에 적용하기 위해서는 무엇보다도 정밀한 언어 데이터 셋 마련과 적확한 ‘의미의 영점’(Degree-Zero) 마련 역시 중요하다. 이런 사실은 결국 학문적 융합이 현재 A.I. 기술에 얼마나 필수적인지를 보여준다. 마지막으로 『일반수사학』의 내용은 현재의 딥러닝 언어모델에서도 여전히 유효하다는 점에서 날카로운 혜안을 증언하고 있으며 우리에게 여전히 인문학과 공학의 초학제적 태도는 중요할 수밖에 없음을 보여준다. In this article, I attempt to analyze the structural similarity between the semantic structure of poetry and rhetorical language on which Groupe μ is focusing and the RNN language model. The main focus of this article was concentrated on the type of ‘metaboles’ that categorizes the functions of poetry and rhetorical language. This type and its insight are considerably useful not only in connection with natural language processing technology but also a application field. In particular, the approach for the idea of ‘rhetorical space’ can be substantially an important concept in terms of connection with deep learning technology of NLP. In addition, this approach shows the fact that it is the paramount importance to prepare a precise language data set which has ‘Degree Zero’ and ‘Subunits’ of the linguistic code. Ultimately, through this convergence analysis, we realize that the trans-disciplinary attitude of the humanities and engineering is inevitably important."
28,문자열 유사도 알고리즘을 이용한 공종명 인식의 자연어처리 연구 - 공종명 문자열 유사도 알고리즘의 비교 -,"정상원,정기창",한국건설관리학회,2020,한국건설관리학회 논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bf4a73bd18c4c97347de9c1710b0298d&keyword=자연어 처리,"Natural language encountered in construction documents largely deviates from those that are recommended by the authorities. Such practice that is lacking in coherence will discourage integrated research with automation, and it will hurt the productivity in the industry for the long run. This research aims to compare multiple string similarity (string matching) algorithms to compare each algorithm’s performance in recognizing the same task name written in multiple different ways. We also aim to start a debate on how prevalent the aforementioned deviation is. Finally, we composed a small dataset that associates construction task names found in practice with the corresponding task names that are less cluttered w.r.t their formatting. We expect that this dataset can be used to validate future natural language processing approaches. 시공 서류에서 접하는 자연어는 당국에서 권장하는 언어와 크게 다르다. 일관성이 부족한 이러한 관행은 자동화를 통한 통합 연구를 방해하고 장기적으로 업계의 생산성을 저하시킬 것이다. 이 연구는 여러 문자열 유사성(문자열 일치) 알고리즘을 비교하여 여러 다른 방법으로 작성된 동일한 작업 이름을 인식하는 각 알고리즘의 성능을 비교하는 것을 목표로 한다. 우리는 또한 앞서 언급 한 편차가 얼마나 널리 퍼져 있는지에 대한 토론을 시작하는 것을 목표로 한다. 마지막으로, 우리는 실제로 발견된 시공 작업 이름을 형식에 비해 덜 복잡한 해당 작업 이름과 연결하는 작은 데이터 세트를 구성했다. 이 데이터 세트를 사용하여 미래의 자연어 처리 접근 방식을 검증 할 수 있을 것으로 기대한다."
29,자연어처리를 위한 대조 학습 기반의 심층학습 모델에 대한 최근 연구 동향,"유대곤(Daegon Yu),한상우(Sangwoo Han),온병원(Byung-Won On)",한국정보기술학회,2022,Proceedings of KIIT Conference,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b3cd9ff2589b13e0b7998d826d417196&keyword=자연어 처리,"대조 학습은 의미가 유사한 벡터에서 추출한 양성 샘플과 의미가 다른 벡터에서 추출한 음성 샘플을 기반으로 손실을 줄여 학습한다. 최근 대조 학습이 자연어처리 분야에서 보다 좋은 품질의 벡터를 생성하기 위한 방법으로 널리 사용되고 있다. 특히 비지도 학습에 사용되며 레이블이 지정되지 않은 데이터에서도 지도 학습모델을 능가한다. 이 외에도 대조 학습은 단일 문장 분류, 문장 임베딩 문제의 성능을 향상시키는 등 사전 학습 시 다양하게 활용된다. Contrastive learning methods are trained by reducing the loss based on positive samples extracted from vectors with similar meanings and negative samples extracted from vectors with different meanings. Recently, it is widely used as a method for generating better quality vectors in the field of natural language processing. Especially, it is used in unsupervised learning, outperforming supervised learning models, even with unlabeled data. In addition, it is used in a variety of ways during pre-training, such as improving the performance of single sentence classification and sentence embedding problems."
30,자연어처리와 기계학습을 통한 우울 감정 분석과 인식,"김규리,문지현,오유란",국제문화기술진흥원,2020,The Journal of the Convergence on Culture Technolo,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=66ad3ff8d50537f67f7a54760bb41745&keyword=자연어 처리,"This paper proposes a machine learning-based emotion analysis system that detects a user's depression through their SNS posts. We first made a list of keywords related to depression in Korean, then used these to create a training data by crawling Twitter data - 1,297 positive and 1,032 negative tweets in total. Lastly, to identify the best machine learning model for text-based depression detection purposes, we compared RNN, LSTM, and GRU in terms of performance. Our experiment results verified that the GRU model had the accuracy of 92.2%, which is 2~4% higher than other models. We expect that the finding of this paper can be used to prevent depression by analyzing the users' SNS posts. 본 논문에서는 SNS에 게시된 글의 내용을 통해 사용자의 우울함을 검출하는 기계학습 기반 감성 분석 시스템을 제안한다. 게시한 글의 작성자가 기분을 파악하는 시스템을 구현하기 위해 먼저 감정 사전에서 우울한 감정의 단어와 그렇지 않은 감정과 관련된 단어를 목록화하였다. 그 후, SNS를 대표하는 서비스 중 하나인 트위터의 텍스트 자료에서 검색 키워드를 선정하고 크롤링을 시행하여 우울한 감정을 띤 문장 1297개와 그렇지 않은 문장 1032개로 이뤄진 학습 데이터셋을 구축하였다. 마지막으로 텍스트 기반 우울감 검출 목적에 가정 적합한 기계학습 모델을 찾기 위해 수집한 데이터셋을 바탕으로 순환신경망, 장단기메모리, 그리고 게이트 순환 유닛을 비교 평가하였고, 그 결과 GRU 모델이 다른 모델들보다 2~4%가량의 높은 92.2%의 정확도를 보임을 확인하였다. 이 연구 결과는 SNS상의 게시글을 토대로 사용자의 우울증을 예방하거나 치료를 유도하는 데 활용될 수 있을 것이다."
31,인공지능 기반 자연어처리를 적용한 욕창간호기록 분석,"김명수,류정미,Kim, Myoung Soo,Ryu, Jung-Mi",한국융합학회,2021,한국융합학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=224530af49d101ace9810257f7042666&keyword=자연어 처리,"본 연구의 목적은 자연어처리에 의해 생성된 욕창간호진술문의 특성을 파악하고, 욕창 단계판별 예측정확도를 평가하기 위함이다. 욕창관련 간호기록은 서술통계를 이용하여 분석하였고, 워드클라우드 생성기를 활용하여 욕창예방 간호기록에서 단어의 특성을 파악하였다. 딥러닝을 이용하여 욕창단계판별 정확도(accuracy ratio) 를 구하였다. 연구결과, 욕창의 단계에 대한 기록 중 2단계와 심부조직손상의심단계가 각각 23.1% 와 23.0 % 로 가장 많았고, 빈도수가 높은 핵심단어는 홍반, 수포, 가피, 부위, 크기 등으로 나타났다. 예측의 정확도가 높은 단계는 0단계, 심부조직손상의심단계, 2단계 순으로 나타났다. 따라서, 이를 활용하여 임상적 의사결정지지 시스템으로 개발된다면, 임상간호사의 욕창관리역량 향상 전략 개발에 기초가 될 수 있을 것이다. The purpose of this study was to examine the statements characteristics of the pressure ulcer nursing record by natural langage processing and assess the prediction accuracy for each pressure ulcer stage. Nursing records related to pressure ulcer were analyzed using descriptive statistics, and word cloud generators (http://wordcloud.kr) were used to examine the characteristics of words in the pressure ulcer prevention nursing records. The accuracy ratio for the pressure ulcer stage was calculated using deep learning. As a result of the study, the second stage and the deep tissue injury suspected were 23.1% and 23.0%, respectively, and the most frequent key words were erythema, blisters, bark, area, and size. The stages with high prediction accuracy were in the order of stage 0, deep tissue injury suspected, and stage 2. These results suggest that it can be developed as a clinical decision support system available to practice for nurses at the pressure ulcer prevention care."
32,대학수학능력시험 독서 영역의 교육 목표를 위한 자연어처리 기법을 통한 검증,"이수민,김경민,임희석",한국융합학회,2022,한국융합학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0f2a79cbc7e8a34a7f7a54760bb41745&keyword=자연어 처리,"대학수학능력시험 국어 과목에서 중요한 비중을 차지하는 독서 영역의 주된 교육 목표는 주어진 지문을 온전히 이해할 수 있는가를 평가하는 데에 있다. 따라서 해당 지문에 포함된 질의를 주어진 지문만으로 풀이할 수 있는지는 해당 영역의 교육 목표와 관련이 깊다. 본 연구에서는 처음으로, 교육학 분야와 딥러닝을 접목하여 이러한 교육 목표가 실제로도 타당하게 실현 가능한지를 입증하고자 한다. 대학수학능력시험의 독서 영역의 개별 지문과 그에 수반된 다수의 문장 쌍(sentence pair)을 정제하여 추출하고, 해당 문장 쌍을 주어진 지문에 비추어 적절하거나(T), 적절하지 않은지(F)를 판단하는 이진 분류 태스크(binary classification task)에 적용하여 평가 하고자 한다. 그 결과, F1 스코어 기준 59.2%의 human performance를 뛰어넘는 성능을 62.49%의 KoELECTRA를 비롯한 대부분의 언어 모델에서 확인할 수 있었으며, 또한 데이터 전처리 과정에 변화를 줌으로써 언어 모델의 구조적 한계를 극복할 수 있었다. The major educational goal of reading part, which occupies important portion in Korean language in Korean SAT, is to evaluated whether a given text can be fully understood. Therefore given questions in the exam must be able to solely solvable by given text. In this paper we developed a datatset based on Korean SAT’s reading part in order to evaluate whether a deep learning language model can classify if the given question is true or false, which is a binary classification task in NLP. In result, by applying language model solely according to the passages in the dataset, we were able to acquire better performance than 59.2% in F1 score for human performance in most of language models, that KoELECTRA scored 62.49% in our experiment. Also we proved that structural limit of language models can be eased by adjusting data preprocess."
33,자연어처리 기반 진화형 임상의사결정지원시스템: 녹내장 진단 사례연구,"장동진,Ubaid Ur Rehman,정윤혜,Hafiz Syed Muhammad Bilal,이승룡",한국통신학회,2020,정보와 통신,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=51031d567bee93454884a65323211ff0&keyword=자연어 처리,"임상의사결정지원시스템 (Clinical Decision Support System, CDSS)은 1980년대에 처음 소개된 개념으로 임상의사결정 능력 제공과 의료 서비스의 향상을 목적으로 하였다. 이후 기술이 발전함에 따라 현대의 CDSS는 임상 관리, 비용 절감, 행정 업무, 그리고 의료진 뿐만 아니라 환자를 위한 의사결정 기능까지 지원하게 되었다. 또한 CDSS에 인공지능을 도입함에 따라 연구 실험 결과의 해석과 의료 영상으로부터 질병을 진단할 수 있는 기능까지 갖추게 되었다. 이렇듯 다양한 기능이 CDSS에 추가되었지만, 핵심적인 의사결정 능력은 여전히 지식베이스에 의존적이다. 지식베이스의 진화를 위해서는 지식의 획득, 표현 및 변환 작업이 요구된다. 그러나 이를 사람이 직접 하는 방법은 많은 비용과 시간이 소모되어 진화 작업이 잘 수행되지 않고, 그에 따라 시간이 경과하면서 기존 지식이 낡은 지식이 되어 진단 능력이 떨어져 추천의 오류가 발생하게 된다. 본고에서는 효율적이고 효과적으로 지식베이스를 진화시키기 위해 자연 언어 처리(Natural Language Processing, NLP) 기법을 활용하는 방법을 제안한다. 제안 방법은 전문의로부터 점진적으로 지식을 획득하며, 획득된 지식은 규칙으로 변환되어 지식베이스를 갱신하게 된다. 녹내장 사례 연구를 바탕으로 제안 방법을 이용하여 진화된 지식베이스의 정확도를 실험한 결과 91%의 정확도를 나타내었다."
34,"SpanBERT를 이용한한국어 자연어처리: 기계 독해, 개체 연결, 의존 파싱","박은환(Eunhwan Park),나승훈(Seung-Hoon Na),김태형(Tae-Hyeong Kim),최윤수(Yun-Su Choi),장두성(Du-Seong Chang)",한국정보과학회,2021,한국정보과학회 학술발표논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bafddaba86070a6de9810257f7042666&keyword=자연어 처리,"최근 자연어 처리 연구에서 대용량 말뭉치와 양방향 트랜스포머 기반 맥락을 고려한 BERT 와 같은 언어 모델을 사전 학습하고, 응용 태스크에 미세 조정하여 높은 성능을 달성하였다. 본 연구에서는 개별 토큰이 아닌 연속적인 범위(Span)의 토큰을 마스킹(Masking)한다. 그리고 개별 토큰 표현에 의존하지 않고 범위 경계(Span Boundary) 표상을 학습하여 마스킹 된 범위의 전체 내용을 예측 함으로서 기존의 한국어 RoBERTa[1] 모델을 확장한다. 이를 바탕으로 기계 독해, 개체 연결, 의존 파싱과 같은 응용 태스크 일부에서 기존 언어 모델보다 향상된 성능을 거두었다."
35,자연어처리 알고리즘을 이용한 위험기반 항공안전데이터 자동분류 방안 연구,"양성훈,최영,정소영,안주현",한국항행학회,2022,韓國航行學會論文誌,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8e29f4b93e7f9a5db7998d826d417196&keyword=자연어 처리,"Although the domestic aviation industry has made rapid progress with the development of aircraft manufacturing and transportation technologies, aviation safety accidents continue to occur. The supervisory agency classifies hazards and risks based on risk-based aviation safety data, identifies safety trends for each air transportation operator, and conducts pre-inspections to prevent event and accidents. However, the human classification of data described in natural language format results in different results depending on knowledge, experience, and propensity, and it takes a considerable amount of time to understand and classify the meaning of the content. Therefore, in this journal, the fine-tuned KoBERT model was machine-learned over 5,000 data to predict the classification value of new data, showing 79.2% accuracy. In addition, some of the same result prediction and failed data for similar events were errors caused by human."
36,자연어처리기법을 활용한 코로나19 전후 지속가능한 글로벌 공급망 연구 동향 변화와 시사점,"이소연(So-Yeon Lee),송민채(Min-Chae Song)",한국산학기술학회,2022,한국산학기술학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bb8b952c3f7250807f7a54760bb41745&keyword=자연어 처리,"코로나19 사태로 기존 글로벌 공급망의 취약점이 드러나면서 위기 발생에 대한 선제적 리스크 관리 및 신속대응을 위한 국가와 기업들의 새로운 공급망 구축에 대한 논의가 활발히 진행 중이다. 그 중 ‘지속가능한 공급망(Sustainable Global Value Chains)’ 전략이 가장 큰 주목을 받고 있다. 그러나 어떠한 배경에서 코로나19가 글로벌 공급망 연구와 관련 논의에 영향을 미쳤는지를 실증 분석한 연구는 찾아보기 어렵다. 본 연구는 코로나19가 어떻게 글로벌 공급망 전략에 영향을 미쳤고, 지속가능한 글로벌 공급망 연구가 2019년 전후로 어떠한 양상으로 변화하고 있는지 텍스트 분석기법을 이용해 살펴보았다. 결론으로 분석에서 도출된 결과를 토대로 지속가능한 글로벌 공급망 연구의 영역 및 연구대상(주체)의 확대, 실행가능한 제도 정비의 필요성 등을 미래 연구의제로 제시하였다. 본 연구는 국가 간 경제의 상호의존성 심화로 코로나19 충격이 개별 기업의 대응 역량과 범위를 벗어나 경제 구조 전반을 변화시킴에 따라 글로벌 공급망의 패러다임 전환이 진행 중에 있음을 실증분석으로 확인하고, 어떠한 대응이 필요한지 제안하였다는 점에서 그 의의가 있다. The vulnerabilities of present global value chains were revealed by the COVID-19 pandemic. Discussions are underway in various countries and companies to establish new global value chains for risk management purposes and improve response to global risks, and the sustainable global value chain strategy has received the most research attention. Although research on sustainable global value chains has increased significantly since 2019, few studies have empirically analyzed how COVID-19 affected global value chain research and discussion. In this study, we analyzed how the COVID-19 pandemic affected global value chain strategies and why sustainable global value chain research changed before and after 2019 using natural language preprocessing techniques.
Based on the implications derived from empirical results, we suggest sustainable global value chain research scope and research subjects be expanded and that the need for system preparation be explored. This study shows, using natural language preprocessing, that a paradigm shift in global value chains is in progress due to the COVID-19 pandemic."
37,보건의료 빅데이터에서의 자연어처리기법 적용방안 연구: 단어임베딩 방법을 중심으로,"김한상 ( Hansang Kim ),정여진 ( Yeojin Chung )",한국보건행정학회,2020,보건행정학회지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=42a2df90c60883aa7f7a54760bb41745&keyword=자연어 처리,"While healthcare data sets include extensive information about patients, many researchers have limitations in analyzing them due to their intrinsic characteristics such as heterogeneity, longitudinal irregularity, and noise. In particular, since the majority of medical history information is recorded in text codes, the use of such information has been limited due to the high dimensionality of explanatory variables. To address this problem, recent studies applied word embedding techniques, originally developed for natural language processing, and derived positive results in terms of dimensional reduction and accuracy of the prediction model. This paper reviews the deep learning-based natural language processing techniques (word embedding) and summarizes research cases that have used those techniques in the health care field. Then we finally propose a research framework for applying deep learning-based natural language process in the analysis of domestic health insurance data."
38,고전시가 분석에서의 자연어처리 활용 ― 次韻詩 詩句의 부자연스러움 증명,이다연,중국어문학연구회,2022,중국어문학논집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=75892a14dfeefc4947de9c1710b0298d&keyword=자연어 처리,"Rhyme-matching poem is a kind of replying poem. It is written based on the rule that the rhymes in the original poem should be used in order. Loved by great poets, it achieved widespread popularity after the Song Dynasty. However, rhyme-matching poems had been criticized for unnatural expressions due to the use of fixed rhymes, and such works had been pointed out. So this study performed the ‘fill-mask’ task using the embeddings of pre-trained models that learned Chinese classical text in a Masked Language Modeling (MLM) so as to verify whether the expressions of the verse in rhyme-matching poems is unnatural compared to those of original poems. The subject of this experiment is the poems of the literary network led by Su-Shi in the North Song Dynasty. The experimental result shows the probability to predict the rhyme tokens in rhyme-matching poem was lower than that of original poem; the probability was much lower in the long poem. This proves that the expressions in rhyme-matching poems are not general compared to that of original poems, but more strongly represents the need for using rhyme-matching method in the literary networks. In conclusion, this study demonstrates that rhyme-matching poems were advantageous for close connection with the original poems and the authors."
39,뇌졸중 연구에서 자연어처리와 텍스트 마이닝의 적용,김철호,대한신경과학회,2021,대한신경과학회지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=87daf1d642328d3a6aae8a972f9116fb&keyword=자연어 처리,"Natural language processing (NLP) is a computerized approach to analyzing text that explores how computers can be used to understand and manipulate natural language text or speech to do useful things. In healthcare field, these NLP techniques are applied in a variety of applications, ranging from evaluating the adequacy of treatment, assessing the presence of the acute illness, and the other clinical decision support. After converting text into computer-readable data through the text preprocessing process, an NLP can extract valuable information using the rule-based algorithm, machine learning, and neural network. We can use NLP to distinguish subtypes of stroke or accurately extract critical clinical information such as severity of stroke and prognosis of patients, etc. If these NLP methods are actively utilized in the future, they will be able to make the most of the electronic health records to enable optimal medical judgment."
